2025-11-03 02:35:10 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_023544.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:40:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_024038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:45:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_024540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:50:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_025039.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:55:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_025536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:00:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_030037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:05:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_030542.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:10:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_031034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:15:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_031537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:20:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_032052.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:25:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_032540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:30:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_033041.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:35:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_033536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:40:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_034037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:45:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_034541.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:50:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_035035.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:55:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_035536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:00:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_040039.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:05:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_040539.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:10:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_041035.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:15:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_041538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:20:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_042036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:25:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_042540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:30:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_043037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:35:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_043546.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:40:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_044038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:45:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_044537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:50:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_045037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:55:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_045539.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:00:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_050038.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:05:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_050536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:10:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_051045.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:15:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_051538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:20:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_052037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:25:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_052535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:30:06 | Temp: 42°F | Battery: ok | WiFi: 4/5 | Image: garage-door_20251103_053042.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
