2025-11-03 01:35:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_013536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:40:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_014033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:45:05 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_014528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:50:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_015034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 01:55:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_015537.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:00:05 | Temp: 49°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_020030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:05:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_020529.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:10:06 | Temp: 48°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_021031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:15:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_021531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:20:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_022029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:25:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_022530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:30:05 | Temp: 47°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_023027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:35:10 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_023535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:40:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_024029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:45:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_024533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:50:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_025030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 02:55:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_025530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:00:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_030032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:05:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_030532.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:10:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_031027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:15:05 | Temp: 47°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_031531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:20:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_032027.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:25:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_032530.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
