2025-11-03 02:55:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_025515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:00:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_030018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:05:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_030520.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:10:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_031016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:15:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_031518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:20:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_032016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:25:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_032518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:30:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_033016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:35:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_033516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:40:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_034015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:45:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_034520.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:50:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_035016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:55:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_035514.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:00:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_040018.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:05:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_040515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:10:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_041016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:15:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_041515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:20:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_042015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:25:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_042516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:30:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_043019.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:35:06 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_043515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:40:05 | Temp: 44°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_044016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:45:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_044518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:50:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_045016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:55:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_045516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:00:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_050014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:05:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_050516.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:10:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_051015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
